Identifiant;Nom;Adresse;Localisation;Code postal;Code INSEE;Commune;Code catégorie;Sous-Catégorie;Source;Date d’installation;Descriptif;Téléphone;Lien;Ouverture;Capacité;Capacité (valeur);Conditions;Exploitant;Modèle de station;Lignes de transport en commun;Géométrie
34555;Station biclooPlus Pôle Social Marion Cahour (n°112);Rue Théodore Brosseaud;10, rue Marion Cahour - REZÉ;44400;44143;Rezé;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;30 - LS;"{""type"": ""Point"", ""coordinates"": [-1.567201000301087, 47.18868399866634]}"
34455;Station biclooPlus Calvaire (n°11);Rue du Calvaire;8, rue du Calvaire - Place des Volontaires de la Défense Passive;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;23 - 26 - 54 - C1 - C3 - C6;"{""type"": ""Point"", ""coordinates"": [-1.560675284070991, 47.21557894192171]}"
34463;Station biclooPlus Saint Similien (n°19);Rue Léon Jamin;1, place Saint Similien;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.5589208906313812, 47.2198544663884]}"
34489;Station biclooPlus République (n°46);Boulevard de la Prairie au Duc;3, place de la République;44200;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;26 places;26;ABONNEMENT TICKET;JCDecaux;;132 - 26 - 5 - LN - LO - LS;"{""type"": ""Point"", ""coordinates"": [-1.5551831078070002, 47.205324089572784]}"
34492;Station biclooPlus Duchesse Anne (n°49);Rue Henri IV;2, place de la Duchesse Anne;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;1 - 4;"{""type"": ""Point"", ""coordinates"": [-1.547252999798415, 47.21669999891765]}"
34506;Station biclooPlus Jardin Des Plantes (n°63);Rue Stanislas Baudry;Rue Stanislas Baudry  - face rue Georges Clémenceau;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;11 - 12;"{""type"": ""Point"", ""coordinates"": [-1.544718964758606, 47.21983419669814]}"
34511;Station biclooPlus Livet (n°68);Rue Dufour;65, rue Dufour;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;C1 - LN;"{""type"": ""Point"", ""coordinates"": [-1.5452124347758849, 47.22406787826084]}"
34520;Station biclooPlus École D'architecture (n°77);Quai François Mitterrand;6, quai François Mitterrand;44200;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;32 places;32;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.557532467953787, 47.20760563948131]}"
34453;Station biclooPlus Guépin (n°9);Rue du Calvaire;8, rue de l'Arche Sèche;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;14 places;14;ABONNEMENT TICKET;JCDecaux;;23 - 26 - 54 - C1 - C3 - C6;"{""type"": ""Point"", ""coordinates"": [-1.559017485361712, 47.215814586186085]}"
34457;Station biclooPlus Bretagne Sud (n°13);Rue Pierre Chéreau;3, rue Pierre Chereau;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;20 places;20;ABONNEMENT TICKET;JCDecaux;;3;"{""type"": ""Point"", ""coordinates"": [-1.559161066406022, 47.21678794864367]}"
34462;Station biclooPlus Viarme (n°18);Place Viarme;23, place Viarme;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;14 places;14;ABONNEMENT TICKET;JCDecaux;;3;"{""type"": ""Point"", ""coordinates"": [-1.563308366882806, 47.221429338299814]}"
34465;Station biclooPlus Talensac Sud (n°21);Rue de Talensac;6, rue Talensac;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;16 places;16;ABONNEMENT TICKET;JCDecaux;;12 - 23 - C2 - LO;"{""type"": ""Point"", ""coordinates"": [-1.55647633962643, 47.221143328512134]}"
34474;Station biclooPlus Bourse (n°31);Allée de la Bourse;Allée de la Bourse - Boulevard des Nations-Unies;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;22 places;22;ABONNEMENT TICKET;JCDecaux;;NA;"{""type"": ""Point"", ""coordinates"": [-1.559086551721872, 47.21208302986171]}"
34482;Station biclooPlus Quai Moncousu (n°39);Quai Moncousu;1, quai Moncousu - Pont Haudaudine;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;24 places;24;ABONNEMENT TICKET;JCDecaux;;26 - LN - LO - LS;"{""type"": ""Point"", ""coordinates"": [-1.555233144075186, 47.209406573347806]}"
34483;Station biclooPlus Madeleine (n°40);Quai Moncousu;Quai Moncousu - Pont Général Audibert;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;21 places;21;ABONNEMENT TICKET;JCDecaux;;2 - 3 - LC;"{""type"": ""Point"", ""coordinates"": [-1.550411913565954, 47.2088046412083]}"
34487;Station biclooPlus Palais De Justice (n°44);Quai François Mitterrand;19, quai François Mitterand - 1, rue Olympe de Gouges;44200;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;31 places;31;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.561173078554201, 47.20831728779129]}"
